RetailerName,Brand,AverageSales1,Standard Deviation1,LCLmean-sigma1,UCLmean+sigma1,Min of Calendar Year Num
Wal*Mart Stores,SHEER BLONDE,130693.6,12739.651427989158,117953.94857201085,143433.25142798916,2019
Wal*Mart Stores,VOLUME,9907.133333333333,1982.9522390169218,7924.181094316411,11890.085572350255,2019
Walgreen Drug,,88047.24533333334,11663.258382309103,76383.98695102424,99710.50371564244,2019
Walgreen Drug,BAN,45847.738000000005,6070.385124238456,39777.35287576155,51918.12312423846,2019
Walgreen Drug,BEACH BLONDE,151.10333333333335,83.59823504250681,67.50509829082654,234.70156837584017,2019
Walgreen Drug,BIORE,174541.1613333333,11552.912683586388,162988.2486497469,186094.07401691968,2019
Walgreen Drug,BRILLIANT BRUNETTE,8917.457333333332,627.0430390062953,8290.414294327036,9544.500372339628,2019
Walgreen Drug,CUREL,57319.263999999996,11511.643972926291,45807.6200270737,68830.90797292629,2019
Walgreen Drug,FRIZZ EASE,93053.15600000002,7620.779615074059,85432.37638492596,100673.93561507408,2019
Walgreen Drug,FULL REPAIR,0.08266666666666667,0.30931034397331253,-0.22664367730664586,0.3919770106399792,2019
Walgreen Drug,JERGENS,378033.26600000006,68300.7961268808,309732.46987311926,446334.06212688086,2019
Walgreen Drug,JOHN FRIEDA COLOUR,16.560000000000002,17.31043846931671,-0.750438469316709,33.87043846931671,2019
Walgreen Drug,PRECISION FOAM COLOR,290.26866666666666,162.68241383614756,127.5862528305191,452.9510805028142,2019
Walgreen Drug,RADIANT RED,-0.706,4.236680776268138,-4.942680776268139,3.5306807762681385,2019
Walgreen Drug,ROOT AWAKENING,0,0,0,0,2019
Walgreen Drug,SHEER BLONDE,59995.366666666676,5466.027358287005,54529.33930837967,65461.39402495368,2019
